,road_name
659,大三路
660,大倡路
661,都江堰大道
662,丹坪街
663,东北市街
664,东南市街
665,大龙谭南路
666,东湖南街
667,调露巷
668,大龙潭东路
669,大龙潭西路
670,大官桥
671,灯笼街
672,大安西路
673,东城拐下街
674,洞两路
675,东二道街
676,洞子口北街
677,大安东路
678,东珠市街
679,东紫路
680,东荆路
681,东沙街
682,东打铜街
683,东马道街
684,地勘路
685,东大街东三段
686,大福建营巷
687,东马棚街
688,东通顺街
689,大安西滨河路
690,德通桥路
691,大三路
692,东软大道
693,都江堰大道
694,德盛路
695,洞子口路
696,东环西街
697,定兴街
698,东环路北段
699,电业街
700,二环路
701,二环路南三段
702,二环路南二段
703,二仙桥东二路
704,二仙桥西北一路
705,二仙桥西一巷
706,二仙南一巷
707,二仙桥西北二路
708,二仙桥北四路
709,二仙桥北路
710,二仙桥北二路
711,二仙桥东三路
712,二仙桥北一路
713,二江路
714,二龙街
715,二仙桥南一路
716,二仙桥西北路
717,二道桥街
718,二环路
719,二仙桥西路
720,二仙桥北二路
721,二仙桥东路
722,府兴街
723,凤溪大道
724,凤柳路
725,凤凰南大街
726,凤凰北大街
727,方安路
728,飞虎路
729,芙蓉横街
730,府城大道
731,芳草街
732,芙蓉西路
733,丰收路
734,福寿巷
735,凤凰西路
736,府城大道
737,复兴桥
738,繁江南路
739,繁江北路
740,繁江大道
741,繁清路
742,繁崇路
743,蜚虹路
744,方园街
745,飞云路
746,方池街
747,福字街
748,芳草街
749,芳华街
750,芳华横街
751,府城大道
752,芳沁街
753,藩库街
754,芳草东街
755,方正东街
756,梵音寺街
757,芳草西一街
758,芳邻路
759,富强上街
760,芳草西二街
761,福德街
762,肥猪市街
763,枫香街
764,芙蓉中路
765,抚琴北巷
766,抚琴东巷
767,福宁路
768,福蓓街
769,福洪商业街
770,方元路
771,繁环路
772,服装城路
773,方营路
774,甫家一路
775,甫家二路西段
776,甫家二路东段
777,繁昇路
778,繁新路
779,繁江大道
780,繁广路
781,繁清路
782,繁崇路
783,凤凰大道一段
784,凤祥大道
785,复兴大道
786,凤凰西七路
787,凤凰大道二段
788,凤凰大道三段
789,凤溪大道
790,防洪堤路
791,富民路北段
792,丰泉街
793,飞云路
794,凤翔大道
795,富港路
796,府金路
797,福锦路
798,涪江路
799,涪陵路
800,府河路
801,府河横街
802,府滨北路
803,府滨中路
804,富华北路
805,富民路一段
806,驸江路
807,驸马路
808,凤江街
809,飞虎路
810,抚琴街
811,富龙街
812,方园街
813,蜚虹街
814,方兴南街
815,富荣街
816,方兴北街
817,方兴街
818,富民路南段
819,富民路中段
820,府青路
821,府河下街
822,福龙路
823,丰乐南街
824,凤楼南街
825,凤楼西街
826,抚琴街南三巷
827,抚琴西南街
828,抚琴东南路
829,凤仪东路
830,抚琴东北路
831,抚琴南路
832,福泉东路
833,抚琴西北街
834,抚琴西南路
835,福康街
836,抚琴西路南二巷
837,抚琴西路南一巷
838,抚琴街南一巷
839,府河桥西路
840,府青路
841,抚琴西路
842,繁江大道
843,复兴大道
844,凤祥大道
845,高升桥路
846,光华大道
847,观景路
848,钢铁村桥
849,工农兵大桥
850,古峰路
851,共耕街
852,公永路
853,广富路
854,光耀三路
855,广严大道北段
856,光耀二路
857,古天下街
858,古镇横街
859,古镇街
860,关柏路
861,国宁中街
862,港中路
863,港富路
864,港大路
865,港北四路
866,港通北一路
867,古楠街
868,光华村街
869,高攀东路
870,高升桥路
871,高升桥东路
872,光大巷
873,公园后门桥
874,高攀东路
875,桂红路
876,古镇东街
877,古镇街
878,官亭街
879,关集路
880,桂红路
881,官渡大道
882,广都大道
883,广都大道四段
884,宫保里
885,高升桥路
886,拱桥街
887,桂王桥东街
