area_number,start_lng,start_lat,end_lng,end_lat,status,time
54,103.77999999999997,31.058,103.85299999999997,30.995,1,2019-08-23 Fri 15:12:29
55,103.77999999999997,30.995,103.85299999999997,30.932000000000002,1,2019-08-23 Fri 15:12:29
56,103.77999999999997,30.932000000000002,103.85299999999997,30.869000000000003,1,2019-08-23 Fri 15:12:29
57,103.77999999999997,30.869000000000003,103.85299999999997,30.806000000000004,1,2019-08-23 Fri 15:12:29
58,103.77999999999997,30.806000000000004,103.85299999999997,30.743000000000006,1,2019-08-23 Fri 15:12:29
59,103.77999999999997,30.743000000000006,103.85299999999997,30.680000000000007,1,2019-08-23 Fri 15:12:29
60,103.77999999999997,30.680000000000007,103.85299999999997,30.617000000000008,1,2019-08-23 Fri 15:12:29
61,103.77999999999997,30.617000000000008,103.85299999999997,30.55400000000001,1,2019-08-23 Fri 15:12:29
62,103.77999999999997,30.55400000000001,103.85299999999997,30.49100000000001,1,2019-08-23 Fri 15:12:29
63,103.77999999999997,30.49100000000001,103.85299999999997,30.42800000000001,1,2019-08-23 Fri 15:12:30
64,103.77999999999997,30.42800000000001,103.85299999999997,30.365000000000013,1,2019-08-23 Fri 15:12:30
65,103.85299999999997,31.058,103.92599999999996,30.995,1,2019-08-23 Fri 15:12:30
66,103.85299999999997,30.995,103.92599999999996,30.932000000000002,1,2019-08-23 Fri 15:12:30
67,103.85299999999997,30.932000000000002,103.92599999999996,30.869000000000003,1,2019-08-23 Fri 15:12:30
68,103.85299999999997,30.869000000000003,103.92599999999996,30.806000000000004,1,2019-08-23 Fri 15:12:30
69,103.85299999999997,30.806000000000004,103.92599999999996,30.743000000000006,1,2019-08-23 Fri 15:12:31
70,103.85299999999997,30.743000000000006,103.92599999999996,30.680000000000007,1,2019-08-23 Fri 15:12:31
71,103.85299999999997,30.680000000000007,103.92599999999996,30.617000000000008,1,2019-08-23 Fri 15:12:31
72,103.85299999999997,30.617000000000008,103.92599999999996,30.55400000000001,1,2019-08-23 Fri 15:12:31
73,103.85299999999997,30.55400000000001,103.92599999999996,30.49100000000001,1,2019-08-23 Fri 15:12:31
74,103.85299999999997,30.49100000000001,103.92599999999996,30.42800000000001,1,2019-08-23 Fri 15:12:31
75,103.85299999999997,30.365000000000013,103.92599999999996,30.302000000000014,1,2019-08-23 Fri 15:12:31
76,103.92599999999996,31.058,103.99899999999995,30.995,1,2019-08-23 Fri 15:12:32
